query,answer,rec_api,rank,original_rank
How to convert binary string value to decimal,['java.lang.Integer.parseInt'],"['java.lang.Integer.parseInt', 'java.lang.Math.pow', 'java.lang.Integer.toString', 'java.lang.Integer.toBinaryString', 'java.lang.Long.toHexString', 'java.lang.Integer.toHexString', 'java.lang.Integer.valueOf', 'java.lang.Long.parseLong', 'java.lang.Double.toString', 'java.lang.Float.parseFloat']",1,2
How can I use html styles in strings with format arguments,['java.lang.String.format'],"['java.time.LocalDate.parse', 'java.lang.StringBuilder.insert', 'java.text.SimpleDateFormat.parse', 'java.text.MessageFormat.format', 'java.util.logging.Formatter.format', 'java.text.DecimalFormat.format', 'java.lang.String.valueOf', 'java.lang.StringBuilder.append', 'java.lang.Integer.parseInt', 'java.lang.String.format']",10,1
Converting a sentence string to a string array of words in Java,['java.lang.String.split'],"['java.lang.String.split', 'java.lang.String.contains', 'java.lang.String.valueOf', 'java.lang.Integer.valueOf', 'java.lang.String.format', 'java.lang.Integer.toString', 'java.util.Arrays.toString', 'java.util.Arrays.deepToString', 'java.lang.Character.toString', 'java.lang.Integer.parseInt']",1,9
"How do I create a parent-last / child-first ClassLoader in Java, or How to override an old Xerces version that was already loaded in the parent CL",['java.lang.Class.forName'],"['java.io.File.listFiles', 'java.nio.file.Files.walk', 'java.lang.ClassLoader.getSystemClassLoader', 'java.util.ListIterator.previous', 'java.lang.reflect.Array.newInstance', 'java.io.File.getParentFile', 'java.lang.Class.getMethod', 'java.lang.Class.forName', 'javax.xml.parsers.DocumentBuilderFactory.newInstance', 'java.io.File.lastModified']",8,3
How to timeout a thread,"['java.util.concurrent.Future.get', 'java.lang.Thread.interrupted']","['java.lang.Thread.stop', 'java.lang.Thread.sleep', 'java.lang.Thread.join', 'java.lang.Thread.isInterrupted', 'java.util.concurrent.Future.cancel', 'java.lang.Thread.interrupt', 'java.net.ServerSocket.setSoTimeout', 'java.net.Socket.setSoTimeout', 'java.lang.Object.wait', 'java.util.concurrent.ThreadPoolExecutor.shutdownNow']",-1,2
How to modify a Collection while iterating using for-each loop without ConcurrentModificationException,['java.util.Iterator.remove'],"['java.util.List.subList', 'java.util.Map.Entry.setValue', 'java.util.Iterator.remove', 'java.util.ListIterator.add', 'java.util.List.iterator', 'java.lang.System.arraycopy', 'java.util.HashMap.entrySet', 'java.util.Arrays.asList', 'java.util.Collections.synchronizedList', 'java.util.Collection.removeIf']",3,1
How to hide cursor in a Swing application,"['java.awt.Toolkit.createCustomCursor', 'java.awt.Cursor.getDefaultCursor']","['javax.swing.SwingUtilities.invokeLater', 'javax.swing.SwingUtilities.invokeAndWait', 'javax.swing.text.JTextComponent.setNavigationFilter', 'java.lang.System.exit', 'java.lang.System.currentTimeMillis', 'javax.swing.BorderFactory.createEmptyBorder', 'java.awt.Frame.getFrames', 'javax.swing.JFrame.setDefaultCloseOperation', 'java.awt.Component.getLocationOnScreen', 'java.awt.Component.setCursor']",-1,7
How to generate a random permutation in Java,['java.util.Collections.shuffle'],"['java.util.Random.nextDouble', 'java.lang.Math.random', 'java.util.stream.Collectors.toList', 'java.lang.StringBuilder.reverse', 'java.util.Random.ints', 'java.util.Arrays.toString', 'java.util.Random.next', 'java.util.Collections.shuffle', 'java.util.Random.nextInt', 'java.util.UUID.randomUUID']",8,1
Java generating Strings with placeholders,['java.lang.String.format'],"['java.lang.String.getBytes', 'java.lang.StringBuilder.insert', 'java.util.Arrays.toString', 'java.lang.String.valueOf', 'java.lang.String.intern', 'java.lang.String.split', 'java.lang.Character.toString', 'java.lang.String.format', 'java.text.MessageFormat.format', 'java.lang.String.replaceAll']",8,1
Collect Linux command output,['java.lang.Process.getInputStream'],"['java.io.File.compareTo', 'java.util.stream.Stream.of', 'java.lang.ProcessBuilder.inheritIO', 'java.lang.ProcessBuilder.directory', 'java.util.Collections.synchronizedList', 'java.util.Collections.frequency', 'java.lang.ProcessBuilder.redirectErrorStream', 'java.lang.Process.waitFor', 'java.lang.Process.getInputStream', 'java.lang.Runtime.exec']",9,2
