How to convert binary string value to decimal,Integer.parseInt
How can I use html styles in strings with format arguments,String.format
Converting a sentence string to a string array of words in Java,String.split
"How do I create a parent-last / child-first ClassLoader in Java, or How to override an old Xerces version that was already loaded in the parent CL",Class.forName
How to timeout a thread,Future.get,Thread.interrupted
How to modify a Collection while iterating using for-each loop without ConcurrentModificationException,Iterator.remove
How to hide cursor in a Swing application,Toolkit.createCustomCursor,Cursor.getDefaultCursor
How to generate a random permutation in Java,Collections.shuffle
Java generating Strings with placeholders,String.format
Collect Linux command output,Process.getInputStream
How to subtract X days from a date using Java calendar,Calendar.add
How do I make my ArrayList Thread-Safe? Another approach to problem in Java,Collections.synchronizedList
First char to upper case,String.charAt,Character.toUpperCase
Grouping elements of a list into sublists (maybe by using guava),Collectors.groupingBy
Escaping special characters in Java Regular Expressions,Pattern.quote
How do I get localized date pattern string,SimpleDateFormat.toLocalizedPattern,DateTimeFormatter.ofLocalizedDate
Setting the default Java character encoding,String.getBytes,Charset.defaultCharset
16 bit hex string to signed int in Java,Integer.parseInt
Resolving ip-address of a hostname,InetAddress.getHostAddress
Splitting a string in java on more than one symbol,String.split
How to remove newlines from beginning and end of a string (Java),String.trim
How to reverse a list in Java,Collections.reverse
Java Convert File to Byte Array and visa versa,Files.readAllBytes,Files.write
How can I get a Unicode character's code,Character.codePointAt
Java: How to test on array equality,Arrays.deepEquals,Arrays.equals
How do I convert from int to String,Integer.toString
convert Object[] from a hashmap keyset to String[],Set.toArray
Fastest way to create new array with length N and fill it by repeating a given array,System.arraycopy
How to measure time taken by Java code,System.nanoTime
Java string align to right,String.format
How to split a comma-separated string,String.split,Arrays.asList
toString java of arrays,Arrays.toString
How to find the exact word using a regex in Java,Matcher.find
Remove all non alphabetic characters from a String array in java,String.replaceAll
Java reflection get all private fields,Field.getType
How to get the current date and time of your timezone in Java,TimeZone.getDefault
How can I get screen resolution in java,Toolkit.getScreenResolution,Toolkit.getScreenSize
Java: join array of primitives with separator,String.join
How to instantiate inner class with reflection in Java,Class.getDeclaredConstructor
How to wrap text in a JTextArea,JTextArea.setLineWrap
How to convert Integer to int,Integer.intValue
Grouping by List of Map in Java 8,Collectors.groupingBy
How to sort by two fields in Java,Collections.sort,String.compareTo
Getting a list of accessible methods for a given class via reflection,Class.getMethods,Class.getDeclaredMethods
How do I format a long integer as a string without separator in Java,Long.toString
How to get system time in Java without creating a new Date,System.currentTimeMillis,Date.setTime
How to loop over a Class attributes in Java,Class.getDeclaredFields
Calculate whether an IP address is in a specified range in Java,InetAddress.getByName
Comparing strings with == which are declared final in Java,String.intern
Java8 java.util.Date conversion to java.time.ZonedDateTime,ZonedDateTime.ofInstant,Date.toInstant
How to see if an object is an array without using reflection,Arrays.toString,Class.isArray
Elegant way to read file into byte[] array in Java,Files.readAllBytes
Java parse a number in exponential notation,Double.valueOf
How to sort file names in ascending order,Collections.sort,Arrays.sort
"How do you get the ""object reference"" of an object in java when toString() and hashCode() have been overridden",Object.hashCode,System.identityHashCode
How to count the number of 1's a number will have in binary,Integer.bitCount
How to get the current Time and TimeZone from Locale,TimeZone.getDefault,Locale.getDefault
How to use Scanner to accept only valid int as input,Scanner.hasNextInt
How to test a Class.forName call in Java code,Class.forName
How to print the address of an object if you have redefined toString method,System.identityHashCode,Object.toString
How to get all possible values of an enum in java? (not knowing the specific Enum),Class.getEnumConstants
Best way to exit a program when I want an exception to be thrown,System.exit
Double value to round up in Java,Double.parseDouble
Make a negative number positive,Math.abs
Get string character by index - Java,Character.toString,String.charAt
"How to use ""cd"" command using Java runtime",ProcessBuilder.directory,Runtime.exec
How to get the insert ID in JDBC,Statement.getGeneratedKeys,Statement.RETURN
How to scan a folder in Java,Files.newDirectoryStream,File.listFiles
How do I copy a 2 Dimensional array in Java,System.arraycopy,Arrays.copyOf
Checking for a null int value from a Java ResultSet,ResultSet.getInt
How to check if internet connection is present in java,InetAddress.isReachable,URL.openConnection
Replacing single '\' with '\\' in Java,String.replace,String.replaceAll
Add elements to a List while iterating over it. (Java),List.listIterator
Calling System.gc( ) explicitly,System.gc
Compare two arrays of primitives in Java,Arrays.equals
How can I get the current date and time in UTC or GMT in Java,Date.toString
How to name a variable that is a copy of a parameter,Arrays.copyOf
Garbage collector in Android,System.gc
Java 7 default locale,Locale.getDefault
Equals operator for zeros (BigDecimal / Double) in Java,BigDecimal.equals
java: How to fix the Unchecked cast warning,Class.cast
Removing range (tail) from a List,List.subList
How to convert a Binary String to a base 10 integer in Java,Integer.parseInt
How to get string value from a Java field via reflection,Field.get
Concatenating null strings in Java,String.valueOf
Linking static library with JNI,System.loadLibrary
Round up BigDecimal to Integer value,BigDecimal.setScale
How can I stop a Java while loop from eating >50% of my CPU,Thread.sleep,System.currentTimeMillis
Convert Set to List without creating new List,List.addAll
How to rotate text with Graphics2D in Java,Graphics2D.getTransform,Graphics2D.rotate
Changing Java PriorityQueue to a Max PQ,Collections.reverseOrder
How can I abort a running JDBC transaction,Connection.rollback,Statement.cancel
How Object objects return Strings? (Java),Object.toString
"How to wait for all threads to finish, using ExecutorService",ExecutorService.awaitTermination,ExecutorService.shutdown
Calculate the display width of a string in Java,Graphics.getFontMetrics,FontMetrics.stringWidth
Initializing a boolean array to false,Arrays.fill
How to show full stack trace on eclipse,Throwable.printStackTrace
How to convert date format to milliseconds,Date.getTime
How to find and stop all currently running threads,Thread.interrupt,Thread.stop
How to Convert a Java 8 Stream to an Array,Stream.toArray
How can I check if a single character appears in a string,String.indexOf
Java garbage collection,System.gc
Instantiating an inner class,Class.newInstance
Java ResultSet - get Column name based on Index,ResultSet.getMetaData
Is there a way to instantiate a class by name in Java,Class.forName
Test if a string contains any of the strings from an array,String.matches
How to get file size in Java,File.length
java hashmap key iteration,Map.keySet,Map.entrySet,Map.values
Java Fastest way to read through text file with 2 million lines,BufferedReader.readLine
Merge 3 arraylist to one,Arrays.asList,Stream.collect,ArrayList.addAll
How can I create a stream from an array,Arrays.stream,Stream.of
initializing a boolean array in java,Arrays.fill,Boolean.FALSE
Get java.nio.file.Path object from java.io.File,File.toPath
How to get concrete type of a generic interface,ParameterizedType.getActualTypeArguments,Class.getGenericInterfaces
Cast Object to Generic Type for returning,Class.cast
Combine stream of Collections into one Collection - Java 8,Stream.flatMap
Accessing non-visible classes with reflection,Class.forName
Precise time measurement in Java,System.currentTimeMillis,System.nanoTime
Comparing strings by their alphabetical order,String.compareTo
Java - How to format a number to a 2 char string,String.format
Convert from Radians to Degrees in Java,Math.toDegrees
Append relative URL to java.net.URL,URL.toURI
Correct way to synchronize ArrayList in java,Collections.synchronizedList
How to find out which object currently has focus,Window.getFocusOwner
How to convert BigDecimal to Double in Java,BigDecimal.doubleValue
Java: splitting the filename into a base and extension,String.split
How to add new System Properties in java,System.setProperty
LocalDate to java.util.Date and vice versa simplest conversion,Date.toLocalDate,Date.valueOf
Java: function for arrays like PHP's join(),String.join
How can I find whitespace space in a String,String.matches
How can I measure the speed of code written in Java? (AI algorithms),System.currentTimeMillis
Set specific precision of a BigDecimal,BigDecimal.setScale
how to check if string contains '+' character,String.contains
best way to reverse bytes in an int in java,Integer.reverse,Double.doubleToLongBits,Float.floatToIntBits,Integer.reverseBytes
Programmatically determine which Java thread holds a lock,Thread.holdsLock
Defensive copy of Calendar,Calendar.getInstance
Get MAC address on local machine with Java,NetworkInterface.getHardwareAddress,NetworkInterface.getNetworkInterfaces
java escape parenthesis,Pattern.quote
Sorting int array in descending order,Collections.reverseOrder
How to get the name of a class without the package,Class.getSimpleName
How to initialize all the elements of an array to any specific value in java,Arrays.fill
Create intermediate folders if one doesn't exist,File.mkdir,File.mkdirs
Take a char input from the Scanner,Scanner.next
how to find before and after sub-string in a string,String.split
Check if class exists in Java classpath without running its static initializer,Class.forName
Java Round up Any Number,Math.ceil
How do you kill a thread in Java,Thread.interrupt,Thread.stop
How to split a string in Java,String.split
How to clean up threadlocals,ThreadLocal.remove
Creating a draw rectangle (filled with black color) function in Java for a grid,Graphics.fillRect
Java - Splitting String based on multiple delimiters,String.split
Ways to iterate over a List in java,List.iterator,List.listIterator
"How can one Java thread check the state of another one, e.g. whether the other one is blocked",Thread.getState
Alternative to successive String.replace,StringBuilder.replace,String.replace,String.regionMatches
Handling passwords used for auth in source code,JPasswordField.getPassword,JPasswordField.getText
How to capture System.exit event,Runtime.addShutdownHook
How do I know if I'm on the event dispatch thread,Runnable.run,SwingWorker.doInBackground,SwingUtilities.invokeLater
Splitting a string using Regex in Java,String.split
Quickly square a double,Math.pow
Java: How can I access a class's field by a name stored in a variable,AccessibleObject.setAccessible,Class.getField,Class.getDeclaredField,Field.set
How to find time taken to run java program,System.nanoTime
Close one JFrame without closing another,JFrame.setDefaultCloseOperation
How to add elements of a Java8 stream into an existing List,List.addAll,Collectors.toCollection,ArrayList.addAll,Collector.supplier
Java how to instantiate a class from string,Constructor.newInstance,Class.forName
"Java, how to change current database to another",Connection.setCatalog
How to Execute Windows Commands Using Java - Change Network Settings,Runtime.exec
How do you crash a JVM,System.exit
Getting A File's Mime Type In Java,Files.probeContentType
Combine collect of list with single value using streams,Stream.of,Stream.concat
"How to use comparison operators like >, =, < on BigDecimal",BigDecimal.compareTo
Find the Biggest number in HashSet/HashMap java,HashMap.values,HashMap.keySet,Collections.max
Sort ArrayList of custom Objects by property,Comparator.comparing,List.sort
Efficiently finding the intersection of a variable number of sets of strings,Set.retainAll
How to stop a thread created by implementing runnable interface,Thread.sleep,Thread.interrupted
Making Thread sleep for random amount of MS,Thread.sleep
instantiate class from class object,Class.getConstructors,Class.getConstructor,Class.newInstance
iterator for replacing list members in Java,List.listIterator,ListIterator.set
Java reflection: get class of field,Field.getType
How do I measure time elapsed in Java,System.currentTimeMillis,System.nanoTime
Loading files with ClassLoader,Class.getResource,ClassLoader.getResource,ClassLoader.getSystemClassLoader
How to generate random array of ints using Stream API Java 8,Random.ints
How to reuse application of filter & map on a Stream,Stream.flatMap
How to check if element exists using a lambda expression,Stream.anyMatch
Stream from two dimensional array in java,Arrays.stream,Stream.flatMapToInt
How to make a separated copy of an ArrayList,ArrayList.clone
How to subtract X day from a Date object  in Java,Calendar.add
Instantiate a class object with constructor that accepts a string parameter,Class.newInstance
How to make a symlink in Java when running in Linux,Files.createSymbolicLink,Runtime.exec
How to round the double value to 2 decimal points,Math.round
Enums shared static look-up method,Class.getEnumConstants
JOptionPane to get password,JOptionPane.showOptionDialog
How to run linux commands in java code,Runtime.exec
Compare two objects with a check for null,Objects.equals
How to create a multipart zip file and read it back,ZipInputStream.getNextEntry
print array in the log cat android,Arrays.deepToString,Arrays.toString
Implement binary search in objects,Collections.binarySearch
Getting unix timestamp from Date(),Date.getTime
Java ArrayList - Check if list is empty,List.isEmpty
Convert between LocalDate and sql.Date,Date.toLocalDate,Date.valueOf
Sleep function in android program,Thread.sleep
How to check that a string is parseable to a double,Double.valueOf
How can I pad a String in Java,String.format
How to round a number to n decimal places in Java,DecimalFormat.setRoundingMode,BigDecimal.setScale,Math.round
Tokenizing a String but ignoring delimiters within quotes,String.split
how do I set the default locale for my JVM,Locale.setDefault,Locale.getDefault
Check if a class is subclass of another class in Java,Class.isAssignableFrom
"Given a string in Java, just take the first X letters",String.substring
How to split a String into a Stream of Strings,String.split,Arrays.stream,Stream.of
Preferred Java way to ping an HTTP URL for availability,InetAddress.isReachable,HttpURLConnection.setRequestMethod
JFileChooser change default directory in Windows,JFileChooser.setCurrentDirectory
How can I remove a substring from a given String,String.replace
How can I check if an InputStream is empty without reading from it,InputStream.available
In java how to get substring from a string till a character c,String.indexOf,String.substring
Replace part of a string between indexes in Java,String.substring
Java negative indexOf (counting from the end [length()] ),String.indexOf,String.lastIndexOf
Set System Property for JUnit Runner (Eclipse) to test a Spring Web App,System.setProperty
Waiting on a condition in a reentrant lock,Condition.await
How can I check if multiplying two numbers in Java will cause an overflow,Math.multiplyExact
How do I properly load a BufferedImage in java,ImageIO.read
How can I iterate over the elements in Hashmap,HashMap.values,HashMap.keySet
How to ensure order of processing in java8 streams,Stream.forEachOrdered,Stream.iterate,BaseStream.unordered,Stream.forEach,Stream.generate,package-summary.Ordering
How do I get a UTC Timestamp from Calendar,Calendar.getTime
"How can I get the size of an array, a Collection, or a String in Java",Collection.size,String.length,Map.size
Raising a number to a power in Java,Math.pow
How to Find the Default Charset/Encoding in Java,Charset.defaultCharset
Escaping Shell Commands In java,Runtime.exec
adding comment in .properties files,Properties.store
How to obtain the start time and end time of a day,LocalDate.atStartOfDay
Checking if a number is an Integer in Java,Integer.parseInt
Reading a plain text file in Java,Files.readAllBytes,Files.readAllLines,BufferedReader.readLine,Files.lines
How to insert NULL in mysql especially INT dataType,PreparedStatement.setNull
How do I schedule a task to run once,index.java,ScheduledExecutorService.schedule,Future.cancel
How to change JFrame icon,Window.setIconImages,JFrame.setIconImage
How do I print a double value without scientific notation using Java,Formatter.syntax,Double.toString
Java Wait for thread to finish,Thread.join
Calendar date to yyyy-MM-dd format in java,Date.toString
Checking if a class is java.lang.Enum,Class.isEnum
How can I read input from the console using the Scanner class in Java,Scanner.next,Scanner.nextLine
How can I shuffle a specific range of an ArrayList,List.subList,Collections.shuffle
"BigDecimal, precision and scale",BigDecimal.scale,BigDecimal.precision
How to compare two object arrays in Java,Arrays.deepEquals,Arrays.equals
how to detect operating system language (locale) from java code,Locale.getDefault
How to cast an Object to an int in java,Integer.valueOf
How to dynamically monitor Java heap size,Runtime.maxMemory,Runtime.totalMemory
Create new object using reflection,Class.newInstance
Sorting a LinkedHashSet,Collections.sort
How to create a generic array,Array.newInstance
Deep copy of an object array,Object.clone
How can I divide properly using BigDecimal,BigDecimal.divide
Android - Check whether a value exist in an Array,List.contains,Arrays.asList
How do you escape colon (:) in Properties file,Properties.store
Always Round UP a Double,Math.ceil
Java 8 streams: process every possible pair of elements from list,Stream.flatMap
Getting the IP address of the current machine using Java,NetworkInterface.getNetworkInterfaces,InetAddress.getLocalHost,InetAddress.getByName
how to compare the Java Byte[] array,Arrays.deepEquals,Arrays.equals
Best approach to converting Boolean object to string in java,String.valueOf
java - Safe way to create a Temp file,File.createTempFile
Access static final variable using reflection,Field.get
How to iterate through ArrayList of objects,ArrayList.get
#Call return statement or System.exit on try or catch block,System.exit
How to replace all characters in a user input string except one,String.replaceAll
How can I run my haskell functions through Java,Runtime.exec
How can I exchange the first and last characters of a string in Java,String.replace,String.substring
Getting User input with Scanner,Integer.parseInt,Scanner.nextInt,Scanner.next
How to get generic type information from getAnnotatedParameterTypes() in Java 8,Executable.getAnnotatedParameterTypes,Method.getGenericParameterTypes
getting file creator/owner attributes in Java,Files.getOwner
Is there any way to find os name using java,System.getProperties,System.getProperty
Interrupt java thread running nashorn script,Thread.interrupted,Thread.stop
Java - parse binary to long,Long.parseLong
How cancel the execution of a SwingWorker,SwingWorker.cancel
What is the fastest way to copy a double[] in Java,System.arraycopy
java explode a line/string like php explode,String.split
how to create a file in Java only if one doesn't already exist,File.createNewFile
Creating new object in abstract class in Java,Class.getConstructor,Constructor.newInstance,Class.newInstance
Load Java Image inside package from a class in a different package,Class.getResource,ClassLoader.getResource
How to collect DoubleStream to List,DoubleStream.boxed,Double.parseDouble,Double.valueOf,Stream.mapToDouble
Java Streams: find if stream contains null,Stream.findAny
JDesktopPane - how to get active frame,JDesktopPane.getAllFrames
JAVA: Concurrency control for access to list in java,Collections.synchronizedList
How do I use swing in a shutdown hook,Runtime.addShutdownHook,System.exit
How to ensure a piece of code is run before exiting a java application,Runtime.addShutdownHook,System.exit
Java concatenate to build string or format,String.format
Listing only files in directory,File.isFile
How to blur a portion of an image with JAVA,BufferedImage.getSubimage
Is there any way we can execute some java code when a jvm process is killed,Runtime.addShutdownHook
Java Stream API - count items of a nested list,Stream.mapToInt,IntStream.sum
