query,answer,rec_api,rank,original_rank
How can I use html styles in strings with format arguments,['java.lang.String.format'],"['java.time.LocalDate.parse', 'java.lang.StringBuilder.insert', 'java.text.SimpleDateFormat.parse', 'java.text.MessageFormat.format', 'java.util.logging.Formatter.format', 'java.text.DecimalFormat.format', 'java.lang.String.valueOf', 'java.lang.StringBuilder.append', 'java.lang.Integer.parseInt', 'java.lang.String.format']",10,1
"How do I create a parent-last / child-first ClassLoader in Java, or How to override an old Xerces version that was already loaded in the parent CL",['java.lang.Class.forName'],"['java.io.File.listFiles', 'java.nio.file.Files.walk', 'java.lang.ClassLoader.getSystemClassLoader', 'java.util.ListIterator.previous', 'java.lang.reflect.Array.newInstance', 'java.io.File.getParentFile', 'java.lang.Class.getMethod', 'java.lang.Class.forName', 'javax.xml.parsers.DocumentBuilderFactory.newInstance', 'java.io.File.lastModified']",8,3
How to timeout a thread,"['java.util.concurrent.Future.get', 'java.lang.Thread.interrupted']","['java.lang.Thread.stop', 'java.lang.Thread.sleep', 'java.lang.Thread.join', 'java.lang.Thread.isInterrupted', 'java.util.concurrent.Future.cancel', 'java.lang.Thread.interrupt', 'java.net.ServerSocket.setSoTimeout', 'java.net.Socket.setSoTimeout', 'java.lang.Object.wait', 'java.util.concurrent.ThreadPoolExecutor.shutdownNow']",-1,-1
How to modify a Collection while iterating using for-each loop without ConcurrentModificationException,['java.util.Iterator.remove'],"['java.util.List.subList', 'java.util.Map.Entry.setValue', 'java.util.Iterator.remove', 'java.util.ListIterator.add', 'java.util.List.iterator', 'java.lang.System.arraycopy', 'java.util.HashMap.entrySet', 'java.util.Arrays.asList', 'java.util.Collections.synchronizedList', 'java.util.Collection.removeIf']",3,1
How to hide cursor in a Swing application,"['java.awt.Toolkit.createCustomCursor', 'java.awt.Cursor.getDefaultCursor']","['javax.swing.SwingUtilities.invokeLater', 'javax.swing.SwingUtilities.invokeAndWait', 'javax.swing.text.JTextComponent.setNavigationFilter', 'java.lang.System.exit', 'java.lang.System.currentTimeMillis', 'javax.swing.BorderFactory.createEmptyBorder', 'java.awt.Frame.getFrames', 'javax.swing.JFrame.setDefaultCloseOperation', 'java.awt.Component.getLocationOnScreen', 'java.awt.Component.setCursor']",-1,-1
How to generate a random permutation in Java,['java.util.Collections.shuffle'],"['java.util.Random.nextDouble', 'java.lang.Math.random', 'java.util.stream.Collectors.toList', 'java.lang.StringBuilder.reverse', 'java.util.Random.ints', 'java.util.Arrays.toString', 'java.util.Random.next', 'java.util.Collections.shuffle', 'java.util.Random.nextInt', 'java.util.UUID.randomUUID']",8,1
Java generating Strings with placeholders,['java.lang.String.format'],"['java.lang.String.getBytes', 'java.lang.StringBuilder.insert', 'java.util.Arrays.toString', 'java.lang.String.valueOf', 'java.lang.String.intern', 'java.lang.String.split', 'java.lang.Character.toString', 'java.lang.String.format', 'java.text.MessageFormat.format', 'java.lang.String.replaceAll']",8,1
Collect Linux command output,['java.lang.Process.getInputStream'],"['java.io.File.compareTo', 'java.util.stream.Stream.of', 'java.lang.ProcessBuilder.inheritIO', 'java.lang.ProcessBuilder.directory', 'java.util.Collections.synchronizedList', 'java.util.Collections.frequency', 'java.lang.ProcessBuilder.redirectErrorStream', 'java.lang.Process.waitFor', 'java.lang.Process.getInputStream', 'java.lang.Runtime.exec']",9,2
How do I make my ArrayList Thread-Safe? Another approach to problem in Java,['java.util.Collections.synchronizedList'],"['java.util.Collections.unmodifiableList', 'java.lang.Thread.start', 'java.util.Collections.unmodifiableCollection', 'java.util.concurrent.ConcurrentHashMap.computeIfAbsent', 'java.lang.Thread.interrupted', 'java.lang.Thread.setName', 'java.lang.Thread.currentThread', 'java.lang.Thread.interrupt', 'java.util.Collections.synchronizedSet', 'java.util.Collections.synchronizedList']",10,1
First char to upper case,"['java.lang.String.charAt', 'java.lang.Character.toUpperCase']","['java.lang.String.valueOf', 'java.lang.Integer.parseInt', 'java.beans.Introspector.decapitalize', 'java.lang.String.equalsIgnoreCase', 'java.lang.String.charAt', 'java.lang.String.toCharArray', 'java.lang.Character.toLowerCase', 'java.lang.String.indexOf', 'java.lang.String.toLowerCase', 'java.lang.Character.toUpperCase']",5,3
Grouping elements of a list into sublists (maybe by using guava),['java.util.stream.Collectors.groupingBy'],"['java.util.List.subList', 'java.util.stream.Stream.collect', 'java.util.Arrays.asList', 'java.util.Arrays.sort', 'java.util.Collections.sort', 'java.util.List.listIterator', 'java.util.Set.retainAll', 'java.util.ArrayList.add', 'java.util.ArrayList.addAll', 'java.util.stream.Collectors.groupingBy']",10,1
How do I get localized date pattern string,"['java.text.SimpleDateFormat.toLocalizedPattern', 'java.time.format.DateTimeFormatter.ofLocalizedDate']","['java.time.LocalDate.parse', 'java.time.Instant.toString', 'java.util.Calendar.getTimeInMillis', 'java.text.NumberFormat.getCurrencyInstance', 'java.time.LocalDate.from', 'java.util.Calendar.getTime', 'java.text.DateFormat.getDateInstance', 'java.time.format.DateTimeFormatter.ofLocalizedDate', 'java.text.DateFormat.parse', 'java.util.regex.Pattern.quote']",8,2
16 bit hex string to signed int in Java,['java.lang.Integer.parseInt'],"['java.lang.Long.toString', 'java.lang.Integer.valueOf', 'java.lang.Long.parseUnsignedLong', 'java.lang.Long.parseLong', 'java.lang.Integer.parseUnsignedInt', 'java.lang.Integer.toHexString', 'java.lang.Integer.parseInt', 'java.lang.Long.toHexString', 'java.lang.Short.parseShort', 'java.lang.Byte.toUnsignedInt']",7,1
Resolving ip-address of a hostname,['java.net.InetAddress.getHostAddress'],"['java.net.URL.equals', 'java.net.NetworkInterface.getNetworkInterfaces', 'java.net.InetSocketAddress.getAddress', 'java.net.InetAddress.getHostAddress', 'java.net.InetAddress.getCanonicalHostName', 'java.net.InetAddress.getByName', 'java.net.InetAddress.getAllByName', 'java.net.InetAddress.getLocalHost', 'java.net.InetAddress.getHostName', 'java.net.InetAddress.toString']",4,3
How to reverse a list in Java,['java.util.Collections.reverse'],"['java.util.Arrays.binarySearch', 'java.util.Map.keySet', 'java.util.Arrays.asList', 'java.util.List.size', 'java.util.Map.values', 'java.util.Arrays.sort', 'java.util.Collections.reverseOrder', 'java.util.Collections.reverse', 'java.util.Collections.sort', 'java.util.NavigableMap.descendingMap']",8,1
